province,night_lights,daylight
ogan komering ulu timur,0.20882816473657514,13929520543.47927
ogan komering ulu selatan,0.4624203944577807,13815642991.722279
ogan ilir,0.42503250588799113,12882359899.859219
empat lawang,0.34428002689984977,12751103386.70249
penukal abab lematang ilir,1.5233677852004983,13196045052.867393
musi rawas utara,0.18169042906055327,12273418536.383152
palembang,8.811376139166263,12507663572.371239
pagar alam,0.27259151210826665,12753710895.25633
lubuklinggau,2.8201127072542227,12733172845.97078
prabumulih,0.9202355379224849,13295704626.031378
bengkulu selatan,1.0093813074766032,13952699651.421652
rejang lebong,0.40759750111706416,12395810787.768465
bengkulu utara,0.24026159648470832,13042123098.890257
kaur,0.2323570373340952,12374202581.017097
seluma,0.2746193625240304,14033174899.052896
mukomuko,0.0,12824472738.061491
lebong,0.12225699871093013,11650186439.057953
kepahiang,0.2223274861267683,12581934221.919247
bengkulu tengah,0.3097594974369687,13087122027.321545
lampung selatan,1.7933577537422671,14931617088.26787
lampung tengah,0.5823449454234857,13868215242.659496
lampung utara,0.6122550828161809,14143564217.29554
lampung barat,0.40987159062352085,13142077888.302454
tulang bawang,0.7958969668209224,13351206449.988575
tanggamus,0.46307942150611314,14498967459.932682
lampung timur,1.1765933823553392,14192545579.180483
way kanan,0.038138635388582975,14107479157.885677
pesawaran,0.4211988961258985,10212804303.371754
pringsewu,0.4211988961258985,10212804303.371754
mesuji,0.5608472399508075,12740879376.544062
tulang bawang barat,0.5771741196353621,13527203550.419594
pesisir barat,0.4095444461299162,14143612168.446152
bandar lampung,12.304177224369287,14065928772.384207
metro,4.396810555510102,13497502948.43247
bangka,0.36056431025078084,12469401336.263935
belitung,0.3910037580356523,13729983735.348083
bangka selatan,0.20640580135667508,0.0
bangka tengah,0.26589732037746966,13633738866.0
bangka barat,0.24223596238554962,11946861610.0
belitung timur,0.33789214490993325,13744844777.935106
pangkalpinang,4.961309007668268,12501347238.087881
bintan,0.4211988961258985,10212804303.371754
karimun,0.10126996896718082,11121618878.46252
natuna,0.21057235995615844,0.0
lingga,0.14510157937749485,0.0
kepulauan anambas,0.3108359905861492,11894573801.655418
batam,2.5818743803272186,11295601122.352407
